               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064087,            0.029214,            0.012105,              0.7769,             0.73118,              0.7777,             0.46574,            0.045422,           0.0095821,           0.0037248,            0.070035,           0.0033294,           0.0033294
                   1,            0.051752,            0.026805,           0.0053002,             0.75362,             0.70234,             0.74932,             0.48515,            0.043569,            0.010055,           0.0058108,            0.039953,           0.0065803,           0.0065803
                   2,            0.050783,            0.028425,           0.0062884,              0.7175,             0.59019,             0.65748,             0.39008,            0.047639,            0.011349,           0.0054401,           0.0097877,           0.0097487,           0.0097487
                   3,            0.050211,            0.028869,           0.0062389,             0.74434,             0.64451,             0.71614,             0.47963,            0.043371,            0.010682,           0.0030663,           0.0096288,           0.0096288,           0.0096288
                   4,             0.04827,            0.027886,           0.0050639,             0.77179,             0.68885,             0.75731,             0.51705,            0.042938,            0.010079,           0.0035579,           0.0096288,           0.0096288,           0.0096288
                   5,             0.04747,            0.027692,           0.0046555,             0.81983,             0.70718,             0.78807,             0.54243,            0.040302,           0.0097591,           0.0022679,            0.009505,            0.009505,            0.009505
                   6,            0.046792,            0.027525,            0.004303,             0.84164,             0.71035,             0.79905,             0.55956,            0.040114,           0.0094802,           0.0019068,           0.0093813,           0.0093813,           0.0093813
                   7,            0.046196,            0.027066,           0.0040143,             0.83711,             0.73179,             0.81306,             0.58362,            0.038779,           0.0092578,           0.0014115,           0.0092575,           0.0092575,           0.0092575
                   8,             0.04585,            0.026989,            0.003788,             0.82957,             0.76523,             0.81687,             0.59152,            0.038542,           0.0092093,           0.0017885,           0.0091337,           0.0091337,           0.0091337
                   9,            0.045314,            0.026619,           0.0035839,             0.84856,             0.76825,             0.83163,             0.59758,            0.038131,           0.0089692,           0.0014958,             0.00901,             0.00901,             0.00901
                  10,            0.045231,            0.026718,           0.0034983,             0.83726,             0.77684,               0.842,             0.61878,            0.037431,           0.0089204,           0.0012495,           0.0088863,           0.0088863,           0.0088863
                  11,            0.045074,            0.026696,           0.0035052,             0.83934,             0.78144,             0.83788,             0.62562,            0.037088,           0.0087854,           0.0011827,           0.0087625,           0.0087625,           0.0087625
                  12,            0.044675,            0.026345,           0.0034248,             0.82818,             0.77231,             0.83908,              0.6225,            0.036955,           0.0088163,           0.0012552,           0.0086388,           0.0086388,           0.0086388
                  13,            0.044302,            0.026223,           0.0032057,             0.83543,             0.76819,             0.84265,             0.63331,            0.036729,           0.0087668,           0.0010439,            0.008515,            0.008515,            0.008515
                  14,            0.044438,            0.026271,           0.0033537,             0.84277,             0.77682,             0.84233,             0.63414,            0.036267,           0.0087477,           0.0010358,           0.0083913,           0.0083913,           0.0083913
                  15,            0.044269,            0.026079,           0.0032206,             0.82207,             0.78587,             0.84651,             0.63252,            0.036057,           0.0086825,           0.0011135,           0.0082675,           0.0082675,           0.0082675
                  16,            0.044067,            0.026076,           0.0030637,             0.84908,             0.77541,             0.84629,             0.63767,            0.035939,           0.0086216,           0.0011033,           0.0081437,           0.0081437,           0.0081437
                  17,            0.043936,            0.025993,           0.0031079,             0.85509,             0.77429,             0.84963,             0.64184,            0.035819,           0.0086063,          0.00099568,             0.00802,             0.00802,             0.00802
                  18,            0.043797,            0.025999,           0.0030467,              0.8538,             0.76796,             0.85065,             0.64603,            0.035819,           0.0085759,          0.00095096,           0.0078963,           0.0078963,           0.0078963
                  19,             0.04369,            0.025908,           0.0030223,             0.84399,             0.77987,             0.85177,             0.64711,            0.035798,           0.0085541,          0.00092781,           0.0077725,           0.0077725,           0.0077725
                  20,            0.043762,            0.026059,           0.0029482,             0.83268,             0.79112,             0.85358,             0.64841,            0.035777,           0.0085379,          0.00091704,           0.0076488,           0.0076488,           0.0076488
                  21,            0.043452,            0.025787,           0.0029294,             0.82753,              0.7998,             0.85228,             0.64878,            0.035733,           0.0085201,          0.00092522,            0.007525,            0.007525,            0.007525
                  22,            0.043245,            0.025718,           0.0028453,             0.84357,             0.78653,             0.85209,             0.64942,            0.035688,           0.0085069,          0.00093672,           0.0074013,           0.0074013,           0.0074013
                  23,            0.043303,            0.025696,           0.0028624,             0.84069,             0.79378,             0.85189,             0.65139,            0.035651,           0.0084911,          0.00092648,           0.0072775,           0.0072775,           0.0072775
